WELL;DEPTH_MD;X_LOC;Y_LOC;Z_LOC;GROUP;FORMATION;CALI;RSHA;RMED;RDEP;RHOB;GR;SGR;NPHI;PEF;DTC;SP;BS;ROP;DTS;DCAL;DRHO;MUDWEIGHT;RMIC;ROPA;RXO;FORCE_2020_LITHOFACIES_LITHOLOGY;FORCE_2020_LITHOFACIES_CONFIDENCE;Cluster
25/4-5;1953.1748051;454469.53125;6603730.0;-1927.874878;HORDALAND GP.;Grid Mb.;20.189584732;1.420604825;0.6999835968;1.2662516832;2.22727561;48.542789459;;0.4575160444;11.186498642;128.6096344;;17.5;;;2.6895837784;0.0113416435;;1.420604825;;;65000;1.0;2
17/11-1;1044.193016;520153.1875;6452287.5;-1017.192993;SHETLAND GP.;Tor Fm.;17.139913559;;;0.866897285;1.9583070278;52.370384216;;;;;;;183.0769043;;;0.1106136143;1.0904202461;;;;70032;3.0;2
25/2-13 T4;2975.872;469356.3125;6628712.0;-2950.527588;SHETLAND GP.;Hardraade Fm.;13.05860424;2.4493627548;2.0466623306;1.9151804447;2.5222883224;44.879405975;;;4.8939290047;86.511230469;102.54553986;12.250000954;;;0.7325327396;0.0162289776;;;;;80000;2.0;1
34/12-1;3565.6455842;499930.25;6787699.5;-3541.125244;SHETLAND GP.;Tryggvason Fm.;12.29166317;3.4724004269;2.3808860779;2.2599537373;2.5447123051;54.226528168;;0.2444258928;3.3398356438;87.177711487;;12.250000954;4.5479269028;171.69549561;;-0.004043248;;;3.4081277847;;65030;1.0;1
33/6-3 S;2495.1132;444438.15625;6829568.0;-2464.843018;SHETLAND GP.;Kyrre Fm.;20.051721573;;1.7949199677;1.6915293932;;65.748924255;;0.3492302001;;109.51137543;;17.5;20.861083984;234.28410339;;;;;21.21138382;;65000;1.0;2
31/2-1;2068.3402;530206.5;6737678.5;-2044.276978;DUNLIN GP.;Drake Fm.;13.221686363;2.0797009468;2.0797009468;1.7374737263;2.4051940441;59.808704376;;0.4361863732;;110.70049286;44.430744171;12.250000954;;;;0.0363262743;;;;;65000;2.0;2
35/11-10;2480.3918779;528298.875;6765241.0;-2458.160889;VIKING GP.;Heather Fm.;8.4619655609;6.2037448883;6.2037248611;6.2062206268;2.5168318748;99.184326172;;0.3482783139;;87.362449646;-142.3666382;8.5;;162.98571777;;0.0121318521;;4.8764724731;;4.8749113083;65000;1.0;1
25/2-14;3576.5219006;476911.875;6625392.0;-3549.877441;DUNLIN GP.;Statfjord Fm.;8.9496831894;4.1383800507;3.3886778355;3.7092893124;2.5470273495;59.722827911;;0.1360659301;4.5168247223;74.424819946;79.899131775;8.5;;;0.4496831894;0.0205023754;;;;;65000;1.0;1
30/3-3;2044.67;497350.1875;6737318.0;-2022.566895;ROGALAND GP.;Sele Fm.;19.170137405;0.8719164729;1.2640068531;0.8903422356;1.9878474474;46.913341522;;;30.509851456;129.52102661;56.550537109;;;;;-0.028269954;;;;0.878472507;65000;2.0;2
25/8-7;2266.5991147;475895.84375;6593126.5;-2241.599121;SHETLAND GP.;Svarte Fm.;8.6882276535;3.277176857;3.2865309715;2.7258622646;2.4980316162;58.553405762;;0.1295413077;3.3280444145;83.147476196;138.9316864;8.5;6.5581130981;;0.1882281154;-0.027128339;0.1509812623;3.2591860294;;;70000;1.0;1
31/3-3;2525.346;545914.8125;6744815.0;-2497.380371;DUNLIN GP.;Statfjord Fm.;;2.2030143738;2.2029547691;1.9228276014;2.4544174671;55.350486755;;0.290502578;;90.910171509;136.16601563;;;;;0.0921524093;;;;;65030;1.0;1
16/4-1;2438.0576039;449958.3125;6500262.0;-2412.344971;ZECHSTEIN GP.;Smith Bank Fm.;12.656000137;67.075523376;28.230718613;157.09466553;2.9646177292;11.496287346;;-0.012898352;;51.989391327;123.84971619;12.250000954;28.441770554;;0.4060001075;-0.024432955;0.1497830003;;;789.14996338;86000;1.0;1
29/6-1;3059.4730007;444569.375;6711925.5;-3034.133789;SHETLAND GP.;Kyrre Fm.;14.693976402;;2.0680301189;1.8103188276;;49.939838409;;;;96.0597229;57.454036713;;;;;;;;;;65000;1.0;1
30/6-5;2218.7864;497434.375;6728313.0;-2193.742676;SHETLAND GP.;Lista Fm.;13.815700531;2.6634528637;1.8769134283;1.7215112448;2.3685376644;57.135040283;;0.3768602312;;109.48325348;57.634155273;;;;;-0.004926645;;;;3.5816020966;65000;1.0;1
25/2-7;923.85800061;479887.875;6641111.5;-898.845459;NORDLAND GP.;;19.150657654;0.7340061069;0.7340061069;1.0320544243;2.0841374397;33.143497467;;;4.6406755447;140.3326416;37.997161865;17.5;2.7773940563;;;-0.010068661;0.1270159781;;;;30000;1.0;2
31/2-8;2558.5969795;526929.0625;6758506.0;-2533.328369;BAAT GP.;Heather Fm.;11.980217934;9.0989494324;3.2372722626;2.6165685654;2.4009282589;61.179462433;72.889526367;0.3107146025;4.7042136192;85.745285034;68.519004822;;;;;0.0129111391;;;;6.8914890289;65030;1.0;1
31/4-5;2211.2687964;503113.09375;6713734.5;-2185.539551;VIKING GP.;Fensfjord Fm.;12.453353882;5.0047755241;3.4062356949;3.3912763596;2.4131362438;87.497901917;83.740112305;0.3310064375;4.646364212;93.010276794;112.60635376;;;;;0.0450327918;;4.9156093597;;4.9157590866;65030;1.0;1
31/3-2;1159.0409011;536841.6875;6748638.0;-1133.985718;ROGALAND GP.;Balder Fm.;;;0.8271039724;0.6697406173;2.0226259232;65.561584473;;0.4731146395;;142.8228302;159.42694092;;;;;0.0052989521;;;;;65000;2.0;2
15/9-13;2632.56;437614.125;6470982.0;-2607.145508;SHETLAND GP.;Hod Fm.;12.989165306;;2.5392410755;2.9519395828;2.4367098808;19.724510193;;0.1761147678;5.4640522003;74.123168945;101.91301727;;1.6933671236;;;-0.004281961;0.1449899524;;;;70000;1.0;1
35/8-6 S;2086.9748;518125.75;6799485.5;-2047.630127;SHETLAND GP.;Jorsalfare Fm.;12.341694832;;1.0173403025;1.0407457352;2.3347845078;75.428955078;;0.3148877025;5.2906770706;;;12.250000954;93.593727112;;;0.0180359315;;;82.121604919;;65000;1.0;1
34/5-1 A;2586.8019924;478848.21875;6845661.5;-2526.293457;SHETLAND GP.;Kyrre Fm.;12.122385025;;1.4185726643;1.3395001888;2.3800234795;82.652008057;;0.345518738;5.6211061478;109.96568298;;12.250000954;20.240299225;234.13778687;;0.011346356;;;16.353374481;;65000;1.0;1
35/8-6 S;3482.9428;518347.59375;6798654.0;-3135.476807;SHETLAND GP.;Tryggvason Fm.;12.453280449;;1.9967685938;2.0526723862;2.5564055443;57.854999542;;0.140281871;5.9339804649;;;12.250000954;20.484973907;;;0.0399685204;;;18.886764526;;70000;1.0;1
31/6-8;1968.3804341;537151.6875;6713675.0;-1943.297852;VIKING GP.;Heather Fm.;8.4077157974;;2.2281479836;2.3436083794;2.4434943199;82.078079224;;0.2956940234;;95.147941589;58.987293243;8.375;;;;-0.004556306;;;;;65000;1.0;1
34/8-1;1509.9290232;469662.375;6803718.5;-1486.888794;HORDALAND GP.;Utsira Fm.;18.418689728;;0.7512875795;0.7336246967;1.996399641;83.763565063;;;2.1588106155;154.4251709;37.135055542;17.5;;;;0.0255971495;;;;;65000;1.0;2
34/8-3;1377.4884343;475750.6875;6808445.5;-1354.437622;HORDALAND GP.;Utsira Fm.;13.343700409;1.1685243845;1.1741802692;1.0977683067;1.7617146969;61.11252594;;0.4450526834;;151.23184204;9.6762952805;;;;;-0.018972674;;;;;65000;1.0;2
34/4-10 R;3823.066467;450941.3125;6832991.5;-3797.405273;SHETLAND GP.;Kyrre Fm.;8.6674757004;;2.4470798969;3.3213193417;2.4726960659;166.47637939;;0.2829026878;5.1614589691;104.71639252;;8.5;3.486648798;201.82789612;;-0.023241324;;;0.0413513184;;65000;1.0;1
15/9-15;1194.488;436812.84375;6462991.0;-1169.453125;HORDALAND GP.;Utsira Fm.;13.0119133;1.3057800531;1.3057800531;1.3634375334;1.9785810709;82.889213562;;0.5581678152;1.99581182;143.71554565;57.662120819;12.250000954;8.3903160095;;0.7619130611;0.0593836382;0.1354038268;;;1.110460639;65000;3.0;2
31/2-7;1423.3849316;524583.9375;6747132.5;-1398.330933;ROGALAND GP.;Lista Fm.;18.05884552;;0.7318623662;0.7201097608;2.0727205276;70.549591064;;0.5052800179;;154.90029907;72.644828796;;;;;0.0144082047;;;;;65000;1.0;2
25/8-5 S;1381.4864;463958.09375;6591323.5;-1355.65271;HORDALAND GP.;Grid Mb.;12.743581772;0.9558234215;0.8099687099;0.6850013137;2.0488626957;88.929122925;;0.9863725901;10.939395905;144.32116699;-228.5914307;12.250000954;32.800678253;;0.4935788214;-0.019877052;1.2342119217;0.3099607527;;0.1789821535;65000;1.0;2
16/2-11 A;1889.3151995;475531.21875;6518954.5;-1653.871948;SHETLAND GP.;Hod Fm.;13.027152061;;1.4395651817;1.4613548517;2.3406674862;16.526441574;;0.249876067;6.0246825218;80.328529358;;12.250000954;10.284612656;150.03089905;;0.0073213023;;;7.7810325623;;70000;1.0;1
16/10-1;1506.3037898;444152.375;6435551.5;-1481.244751;HORDALAND GP.;Utsira Fm.;12.274375916;;0.8002484441;0.7296430469;2.018029213;93.180969238;;0.443005681;7.3483533859;143.70365906;88.992774963;12.5;13.696565628;;-0.225623637;-0.013106525;0.1521795243;;;;65000;1.0;2
36/7-3;2834.792;556080.625;6810860.0;-2809.631836;CROMER KNOLL GP.;Aasgard Fm.;;;12.582848549;15.621555328;2.573335886;77.328292847;;0.1624335051;2.5733339787;83.200744629;;;;;;2.573335886;;;11.867919922;;30000;1.0;1
29/6-1;4436.5930007;444380.375;6711922.5;-4389.289063;BAAT GP.;Ness Fm.;9.4169578552;0.5347762704;4.4733338356;3.7584812641;2.3614382744;89.342544556;92.171455383;0.3606407046;149.00813293;84.703384399;61.206233978;;;;;-0.02322189;;;;0.5675833821;65000;1.0;0
35/11-6;1866.8236;524990.125;6784875.0;-1839.203125;ROGALAND GP.;Lista Fm.;18.125;;1.1764906645;1.0355256796;2.2429084778;62.351406097;;;4.2721509933;124.10878754;39.69462204;;;307.55413818;;-0.023313951;;;;;65000;1.0;2
35/11-13;3255.382;529023.875;6781148.5;-3229.961182;VIKING GP.;Heather Fm.;8.4582996368;;6.0581483841;5.4729275703;2.5971364975;113.98781586;;0.2977552414;2.9571006298;75.740394592;;8.5;9.8827066422;133.68450928;;-0.002016593;;6.6604623795;7.0755023956;;65030;1.0;1
15/9-15;2972.584;436796.78125;6463019.0;-2947.103027;HEGRE GP.;Skagerrak Fm.;7.5655636787;1.3579382896;1.3579382896;0.8601344228;2.2675280571;45.42338562;;0.2424224019;5.5806107521;91.462265015;92.70652771;8.5;17.940309525;;-0.934436619;-0.038105138;0.1797395945;;;3.5779685974;30000;1.0;1
25/2-13 T4;2571.704;469384.125;6628712.5;-2547.446045;ROGALAND GP.;Lista Fm.;12.26927948;2.4314608574;1.5913866758;1.2211145163;2.2420256138;24.714281082;;;5.282459259;74.400138855;20.970661163;12.250000954;;;0.0192780998;-0.008776195;;;;;30000;1.0;1
34/8-1;1317.3450232;469662.71875;6803719.0;-1294.308105;HORDALAND GP.;Utsira Fm.;17.890600204;;1.0830606222;0.9892982841;1.7876141071;90.809913635;;;1.536375165;155.16195679;46.469703674;17.5;;;;-0.006339354;;;;;65000;1.0;2
26/4-1;3298.1761995;501133.15625;6608170.5;-3274.790283;DUNLIN GP.;Drake Fm.;11.906937599;1.216361165;3.5021543503;2.8242235184;2.4872775078;100.89681244;;0.3823747039;4.3343892097;81.679664612;67.284439087;8.5;2.7275555134;;3.4069371223;0.0401683673;0.1437916905;;;;65000;1.0;1
25/4-5;1612.2388051;454469.53125;6603730.0;-1586.938843;HORDALAND GP.;Grid Mb.;18.638608932;;0.6691074371;0.8950413465;1.9887498617;44.326793671;;0.5080862045;;168.40063477;;17.5;;;1.1386096478;-0.010469965;;;;;65000;1.0;2
31/6-5;1289.447;544112.625;6720735.0;-1266.398071;CROMER KNOLL GP.;Roedby Fm.;;;0.8072344065;1.6291176081;2.3233087063;84.148620605;;;;112.90705872;9.5209674835;;;;;-0.013967999;;;;;80000;1.0;1
16/10-1;2444.1437898;444162.84375;6435561.0;-2418.93042;SHETLAND GP.;Tor Fm.;12.3125;;2.1936569214;2.0174396038;2.4992895126;26.752597809;;0.1602157354;4.9080886841;74.38130188;100.53566742;12.5;4.0411787033;;-0.1875;-0.017325876;0.1701534837;;;;70000;2.0;1
16/10-5;3018.0123873;448702.03125;6429286.5;-2974.339111;VESTLAND GP.;Bryne Fm.;8.5850152969;2.0506527424;2.0899469852;2.0799534321;2.6340992451;45.515491486;;0.1697220802;9.9602022171;;;8.5;69.916122437;;0.0850155503;0.0067500081;;;19.903114319;;65030;2.0;1
34/2-4;3220.817436;482064.03125;6847157.0;-3187.37085;SHETLAND GP.;Kyrre Fm.;13.105856895;1.9530749321;1.9060721397;1.8232892752;2.505256176;59.752914429;;;2.9883000851;94.760650635;87.077842712;;;;;-0.025371876;;;;;65030;1.0;1
25/4-5;984.63080505;454469.53125;6603730.0;-959.3308105;HORDALAND GP.;Skade Mb.;19.706609726;;1.2424775362;1.8881881237;1.9351770878;46.134056091;;0.5266168118;;159.84922791;;17.5;;;2.2066092491;-0.003964992;;;;;65000;1.0;2
16/2-11 A;1254.2591995;475355.5;6518554.0;-1194.910278;HORDALAND GP.;Skade Fm.;12.308690071;;0.9294420481;0.9262089729;1.9056321383;89.981239319;;0.5663285255;2.5065374374;154.22338867;;12.250000954;24.14081192;;;-0.014219084;;;30.16276741;;65000;1.0;2
31/3-2;1352.2329011;536845.0;6748637.5;-1327.145508;ROGALAND GP.;Lista Fm.;;;0.7969371676;0.7715882063;2.0270264149;83.598945618;;0.508446455;;148.88731384;177.51219177;;;;;0.009184367;;;;;65000;1.0;2
29/6-1;2466.2170007;444579.4375;6711930.0;-2441.020996;SHETLAND GP.;Jorsalfare Fm.;18.567533493;1.6582745314;2.2041640282;2.0627391338;;45.764122009;;;;96.960723877;73.986778259;;;;;;;;;2.7160029411;65000;1.0;2
17/11-1;780.32101599;520153.1875;6452287.5;-753.3210449;HORDALAND GP.;;12.8752985;1.0580790043;1.7009170055;1.3999136686;2.0364949703;75.943519592;;0.5222031474;;151.39785767;35.394405365;;153.66429138;;;0.0319048427;1.0904202461;;;;65000;1.0;2
25/8-5 S;1896.6144;463944.90625;6591237.0;-1860.730103;HORDALAND GP.;Grid Mb.;14.076464653;0.9395995736;0.7458683252;0.6226127744;2.0785028934;89.253814697;;0.7997294068;14.76010704;121.90738678;-225.7248688;12.250000954;13.485990524;;2.2625010014;-0.037516993;1.4618821144;0.4271778762;;0.2839905322;65000;1.0;2
34/10-35;2605.975;463390.84375;6771068.5;-2581.96582;SHETLAND GP.;Vaale Fm.;20.293022156;;1.245059967;1.347039938;2.4526998997;43.901477814;;;6.727519989;104.9389801;39.807601929;;;;;0.1093599945;;;;;65030;1.0;2
29/6-1;4693.7770007;444295.09375;6711895.0;-4630.334961;DUNLIN GP.;Amundsen Fm.;10.54944706;5.8220105171;5.6428151131;4.0352606773;2.6756706238;76.426673889;89.995155334;0.1445662975;4.6016516685;86.975471497;57.997421265;;;;;-0.002725866;;;;6.0533642769;65000;1.0;1
31/2-8;2942.8529795;526907.8125;6758501.0;-2916.936768;DUNLIN GP.;Amundsen Fm.;9.2421998978;;8.8720703125;7.1059818268;2.5162110329;91.060211182;87.903755188;0.2558605373;3.497481823;73.473098755;71.709823608;;;;;0.0006855411;;;;;65000;1.0;1
15/9-15;1645.32;436812.21875;6462994.5;-1620.253418;HORDALAND GP.;Utsira Fm.;13.820353508;0.9338089824;0.9338089824;0.9341991544;2.0275936127;83.097396851;;0.4849851131;2.2329347134;150.5892334;67.56578064;12.250000954;42.265338898;;1.5703524351;0.0191076882;0.1366020888;;;0.5936432481;65000;1.0;2
34/8-3;2754.4564343;475752.625;6808457.0;-2730.293213;SHETLAND GP.;Kyrre Fm.;9.0937004089;1.5444998741;1.5367509127;1.3968583345;2.4366414547;81.888145447;95.669281006;0.3319222033;;104.67578888;77.516052246;;;;;-0.008807871;;2.0948047638;;2.0952327251;65000;1.0;1
34/8-7 R;4441.64;476273.5625;6798596.5;-4414.515137;CROMER KNOLL GP.;Aasgard Fm.;13.086480141;1.7338564396;2.2204954624;2.2296087742;2.496989727;75.927078247;;0.3294740617;;81.131011963;-81.87109375;8.5;;;;-0.004260436;;;;;65000;1.0;1
16/2-16;961.06239612;476768.125;6523588.0;-934.6976929;NORDLAND GP.;Utsira Fm.;12.549261093;;1.2000308037;1.2038218975;2.0020375252;104.25049591;;0.4619841576;4.0925345421;143.72906494;;12.250000954;29.262723923;;;0.0094820447;;;;;65000;1.0;2
31/6-5;911.727;544111.0625;6720733.5;-888.6862793;ROGALAND GP.;Balder Fm.;;;0.8868695498;0.9306831956;1.9152415991;78.677200317;;;;145.43913269;16.172576904;;;;;-0.005815512;;;;;99000;3.0;2
15/9-17;2375.6219984;438597.03125;6478964.5;-2353.462891;ROGALAND GP.;Lista Fm.;13.485296249;0.7972655892;1.1281254292;1.3296200037;1.9119745493;39.594173431;48.819755554;0.3983899951;9.5239372253;120.14289856;40.166595459;;6.879632473;;;-0.006314033;0.1473864764;;;0.7799789906;70000;1.0;2
25/2-13 T4;3551.952;469364.09375;6628698.5;-3526.183594;DUNLIN GP.;Drake Fm.;11.961357117;5.369802475;4.4733300209;4.4098906517;2.3364191055;72.289215088;;0.2670411468;;81.362579346;229.17504883;8.5;;;3.4613585472;0.1690413207;;;;;65000;1.0;1
15/9-15;1449.088;436813.28125;6462992.0;-1424.04895;HORDALAND GP.;Utsira Fm.;12.307587624;1.2615805864;1.2615805864;1.2835841179;1.9776511192;96.687286377;;0.5472854972;2.076980114;152.18765259;65.383766174;12.250000954;81.111030579;;0.0575876497;0.0476740412;0.1366020888;;;0.5795445442;65000;1.0;2
16/5-3;1534.678;474410.8125;6510408.5;-1512.646118;SHETLAND GP.;Tor Fm.;8.6698646545;;1.7449452877;1.7597645521;2.3400974274;21.987670898;;0.2465431541;4.8701605797;82.108055115;;8.5;9.8809537888;153.07403564;;-0.001876339;;2.1552340984;14.217782021;;70032;1.0;1
35/11-11;1860.4676;530384.375;6775194.0;-1836.836548;ROGALAND GP.;Lista Fm.;12.246621132;;0.9655712843;1.1579957008;2.2326450348;77.736488342;;0.2623110414;1.6310197115;89.904808044;52.484996796;12.250000954;52.799999237;175.90675354;;-0.024573129;;0.5580161214;51.471294403;;30000;1.0;1
35/11-1;3107.9371228;535667.0625;6783539.0;-3082.504883;DUNLIN GP.;Statfjord Fm.;8.5542116165;1.5519367456;1.8643798828;2.273277998;2.4581418037;86.744125366;;0.1435572952;3.0336384773;80.959999084;59.960018158;;;;;-0.024037817;;;;1.3283748627;65030;1.0;1
31/2-8;2511.1729795;526930.875;6758507.0;-2485.953369;VIKING GP.;Heather Fm.;12.146935463;5.1733312607;2.9135308266;2.5427541733;2.4375674725;79.876197815;94.479347229;0.313821137;3.1049792767;85.258850098;75.686294556;;;;;0.0336330198;;;;5.0339083672;65030;1.0;1
34/11-2 S;4250.92;467194.1875;6788098.0;-4135.01123;BAAT GP.;Etive Fm.;8.5223798752;;16.279165268;29.134439468;2.4910881519;51.408382416;;0.0968637168;3.1396999359;71.527709961;-4.583312988;;;;;0.0020000001;;;21.468000412;-999.0;30000;1.0;1
25/6-3;1677.7077289;495719.75;6618256.0;-1652.158569;HORDALAND GP.;Skade Fm.;9.8338184357;0.7396002412;0.9336408973;0.8620986342;2.1545200348;97.522636414;;0.6554612517;;141.70332336;;8.5;41.562633514;416.43099976;;;0.1533777863;0.7528148293;;;65000;1.0;2
16/10-2;2953.6172022;443273.125;6444987.5;-2926.335205;VESTLAND GP.;Skagerrak Fm.;8.6655063629;;1.1691356897;1.0373982191;2.4250218868;60.442939758;;0.2565788031;4.4780402184;82.357650757;90.904350281;8.5;;;0.1655055434;0.0387705266;155.77432251;;;;65030;2.0;1
35/11-11;2186.0516;530381.0625;6775194.0;-2162.396484;SHETLAND GP.;Kyrre Fm.;12.859972;;1.719001174;1.4765261412;2.4471230507;102.7460556;;0.3711897433;3.4086024761;107.59798431;49.0;12.250000954;11.483000755;240.72247314;;-0.005029694;;1.8201384544;10.590312004;;65000;1.0;1
25/5-4;3141.9843052;470385.875;6608131.0;-3116.246094;DUNLIN GP.;Statfjord Fm.;8.8027477264;;2.9004378319;2.5901844501;2.4473464489;55.344684601;;0.2538243234;2.830291748;80.959899902;73.958145142;8.5;;;0.3027479649;0.015544096;;;;-999.9000244;30000;1.0;1
16/7-5;2640.7439852;446270.625;6468387.5;-2613.809814;VIKING GP.;Skagerrak Fm.;8.5549402237;0.9867272973;0.979231894;0.5350663662;2.297991991;45.342250824;;0.260766536;4.2372002602;90.987037659;63.754776001;;7.2099819183;;;-0.01649921;1.3300731182;;;;30000;1.0;1
25/3-1;3512.072;487284.96875;6643980.0;-3489.39624;DUNLIN GP.;Sleipner Fm.;8.6875;6.8152303696;4.4727478027;4.2502241135;2.658847332;87.19871521;;0.2833802998;4.0996685028;81.766029358;242.66366577;8.5;26.10118103;;0.4296875;0.0095740156;2.1568751335;6.8313755989;;6.8340249062;65000;1.0;1
31/2-8;767.73297949;526926.0625;6758508.0;-742.6939087;NORDLAND GP.;;15.027606964;;1.9951517582;2.0958919525;2.1936423779;50.763187408;;0.5141873956;;137.74971008;55.697357178;;;;;0.0461509936;;;;;65000;1.0;2
31/2-8;867.74897949;526926.125;6758509.0;-842.7062988;HORDALAND GP.;;18.871091843;;0.7906048894;0.9737473726;1.6886717081;69.153823853;;0.558439374;;161.75886536;60.424823761;;;;;-0.020101327;;;;;65000;1.0;2
34/5-1 A;2440.7299924;478824.53125;6845740.0;-2405.801025;SHETLAND GP.;Kyrre Fm.;12.186144829;;1.0317744017;0.9900530577;2.3233978748;87.543266296;;0.3638681173;4.6879663467;119.36623383;;12.250000954;47.316314697;259.49938965;;0.0149510745;;;32.816619873;;65000;1.0;1
15/9-17;1378.3499984;438593.96875;6478952.0;-1356.311768;HORDALAND GP.;Utsira Fm.;12.35200119;1.1188135147;1.5638602972;1.6573312283;1.9885172844;75.057350159;77.498550415;0.5023071766;2.679541111;134.58596802;35.669025421;;33.463573456;;;0.0027354781;0.1354038268;;;1.1185327768;65000;1.0;2
25/7-2;4050.136;454885.96875;6570989.0;-4021.104004;CROMER KNOLL GP.;Aasgard Fm.;9.9176969528;3.1108968258;2.3598103523;1.6030282974;2.6482758522;49.411026001;42.64012146;0.2807566226;;82.119995117;162.26548767;8.5;4.1875090599;;1.5412123203;-0.030108925;;1.5116651058;;1.2869557142;65000;1.0;1
25/2-7;3849.5540006;479841.75;6641083.0;-3823.710449;DUNLIN GP.;Sleipner Fm.;10.126674652;5.9760699272;5.9760699272;4.9020309448;2.4586780071;116.8539505;;0.275005579;5.0724320412;82.311340332;82.733985901;8.5;;;;0.3143590987;;;;;65000;1.0;1
25/8-5 S;1995.2624;463951.9375;6591196.0;-1949.996094;ROGALAND GP.;Balder Fm.;14.090846062;1.7616741657;1.4585077763;1.2149980068;2.3907761574;64.824493408;;0.5138090253;5.5363173485;101.41910553;-224.4270477;12.250000954;12.089558601;222.18443298;1.8408490419;0.0143572576;1.4978300333;1.1785033941;;1.1352324486;99000;3.0;2
25/3-1;3905.296;487287.4375;6643982.5;-3882.600098;DUNLIN GP.;Statfjord Fm.;10.109690666;3.8078992367;2.8484241962;2.8119599819;2.4524414539;39.528900146;;0.1632569581;7.5435171127;75.272468567;258.47573853;8.5;25.767400742;;;0.1890159994;0.3594791889;;;3.5424592495;30000;1.0;1
35/11-1;2034.6651228;535644.375;6783536.5;-2009.483398;VIKING GP.;Heather Fm.;12.343767166;;5.5664644241;5.1758489609;2.4121479988;100.99684143;;0.2748999894;7.2652158737;103.68740082;42.701000214;;;;;-0.02759923;;;;;65030;1.0;1
16/7-4;1857.7;442819.65625;6461121.0;-1832.639648;HORDALAND GP.;Utsira Fm.;11.963020325;;1.1245471239;0.6161527038;2.1438415051;71.39679718;;0.4141812027;;133.54449463;123.11119843;12.250000954;3.9422996044;;-0.286979079;0.0847999975;0.1485847384;;;;65000;1.0;2
25/7-2;3832.624;454862.96875;6570991.0;-3804.88623;CROMER KNOLL GP.;Roedby Fm.;12.465725899;9.2828073502;3.6567444801;0.3927018344;2.5678787231;54.409873962;;;;83.313034058;;12.250000954;3.6600646973;;0.2327907979;0.0112837274;;7.9142584801;;7.8473277092;65000;1.0;1
30/3-3;1812.718;497350.9375;6737316.5;-1790.628052;HORDALAND GP.;Utsira Fm.;17.539497375;0.6390373707;0.5517522097;0.5349161625;2.0167543888;33.378917694;;;13.376272202;156.40795898;61.796722412;;;;;-0.009491184;;;;0.6383408308;65000;1.0;2
16/10-3;2716.6935993;460453.875;6453745.5;-2676.147949;VESTLAND GP.;Smith Bank Fm.;8.565788269;1.6118305922;1.6046358347;2.1700646877;2.5266721249;119.619133;;0.2852496803;3.2437283993;86.25982666;;8.5;21.200000763;162.44543457;0.0657879412;0.0074457908;0.1701534837;;;;65000;1.0;1
15/9-17;1231.3659984;438593.5625;6478952.5;-1209.330811;HORDALAND GP.;Utsira Fm.;14.218999863;1.3406937122;1.1665974855;1.2597328424;1.8697465658;60.055877686;61.132003784;0.4919202328;2.8377664089;142.45683289;35.913528442;;29.511533737;;;0.0013339013;0.1354038268;;;1.3415442705;65000;1.0;2
30/6-5;3399.5224;497433.46875;6728315.5;-3374.4021;DUNLIN GP.;Statfjord Fm.;15.086719513;1.899831295;2.4712278843;2.8714895248;2.5201263428;106.88744354;;0.2630796134;;81.100097656;115.55200195;;;;;0.0300246067;;;;3.2038669586;65000;1.0;1
35/9-6 S;1962.272;537157.75;6804503.0;-1926.096313;SHETLAND GP.;Kyrre Fm.;12.674225807;;1.1926304102;1.2383413315;2.4019737244;97.615318298;;0.3708095849;;116.71528625;;;;;;;;1.0483093262;26.427305222;;65000;1.0;1
16/4-1;2239.6976039;449956.5;6500265.5;-2214.11499;ROGALAND GP.;Heimdal Fm.;12.102000237;0.4011352956;0.4034410715;0.413279444;2.2221767902;26.257865906;;0.2407101244;;88.737434387;151.47364807;12.250000954;4.8947839737;;-0.147999793;-0.020882145;0.1497830003;;;0.551117897;30000;1.0;1
31/6-8;1146.3644341;537157.0625;6713678.0;-1121.338013;ROGALAND GP.;Sele Fm.;;;0.6882303357;0.5985884666;1.9663587809;84.405158997;;0.4523547292;;161.19746399;13.402586937;;;;;0.0265199691;;;;;65000;1.0;2
35/11-6;2553.2556;524976.125;6784888.5;-2525.261963;SHETLAND GP.;Vaale Fm.;12.382800102;;2.10044384;1.6708854437;2.5312187672;65.301300049;;0.3280756772;4.2362360954;98.307846069;57.668693542;;;212.28448486;;-0.001034074;;;;;65000;1.0;1
16/8-1;1936.7831968;466872.90625;6479868.5;-1911.375366;CROMER KNOLL GP.;Aasgard Fm.;13.671658516;0.92305094;0.9198304415;0.9602304101;2.2815685272;67.877723694;;0.4088383913;;122.41038513;41.282588959;;13.329400063;;;0.0097383829;1.3780035973;;;;80000;1.0;2
16/10-3;1903.4935993;460429.84375;6453747.5;-1863.37085;ROGALAND GP.;Lista Fm.;12.918438911;0.4763919413;0.4757547975;0.5660542846;2.1892924309;103.07559204;;;2.7902383804;125.54059601;87.567657471;12.250000954;43.200000763;;0.6684336066;0.0203395728;0.1677569598;;;;65000;1.0;2
35/11-1;2605.2731228;535657.6875;6783538.0;-2579.930908;DUNLIN GP.;Drake Fm.;8.5948123932;4.4284591675;2.2917058468;2.1856656075;2.4052798748;114.85948181;;0.2303658128;3.1753778458;91.492919922;45.50938797;;;;;-0.021175712;;;;4.5038700104;65000;1.0;1
